REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16199814,2701,Simple Assault.,10/23/2016,00:01,1500 block Compromise St,Fineview,1,,
OFFENSE 2.0,16199838,3745,Accidents Involving Damage to Unattended Veh.or Prop.,10/23/2016,00:42,2600 block Linwood Ave,Perry South,1,,
ARREST,16199839,13(a)(32),Paraphernalia - Use or Possession,10/23/2016,00:52,Sandusky Ct & Henderson St,Fineview,1,25,F
ARREST,16199839,13(a)(16),Possession of Controlled Substance,10/23/2016,00:52,Sandusky Ct & Henderson St,Fineview,1,25,F
ARREST,16197312,2701,Simple Assault.,10/23/2016,00:52,300 block Cedar Ave,Fineview,1,25,F
ARREST,16199839,4910,Tampering with or Fabricating Physical Evidence.,10/23/2016,00:52,Sandusky Ct & Henderson St,Fineview,1,25,F
ARREST,16199839,9501,Bench Warrant,10/23/2016,00:52,Sandusky Ct & Henderson St,Fineview,1,25,F
OFFENSE 2.0,16199839,9501,Bench Warrant,10/23/2016,01:00,Sandusky Ct & Henderson St,Fineview,1,,
OFFENSE 2.0,16199839,4910,Tampering with or Fabricating Physical Evidence.,10/23/2016,01:00,Sandusky Ct & Henderson St,Fineview,1,,
OFFENSE 2.0,16199839,13(a)(16),Possession of Controlled Substance,10/23/2016,01:00,Sandusky Ct & Henderson St,Fineview,1,,
OFFENSE 2.0,16199839,13(a)(32),Paraphernalia - Use or Possession,10/23/2016,01:00,Sandusky Ct & Henderson St,Fineview,1,,
OFFENSE 2.0,16199871,5503(a)(1),DISORDERLY CONDUCT - ENGAGE IN FIGHTING,10/23/2016,01:33,300 block North Shore Dr,North Shore,1,,
OFFENSE 2.0,16199877,5503(a)(1),DISORDERLY CONDUCT - ENGAGE IN FIGHTING,10/23/2016,01:44,800 block Madison Ave,East Allegheny,1,,
OFFENSE 2.0,16199877,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,10/23/2016,01:44,800 block Madison Ave,East Allegheny,1,,
OFFENSE 2.0,16199877,5505,Public Drunkenness,10/23/2016,01:44,800 block Madison Ave,East Allegheny,1,,
ARREST,16199877,5503(a)(1),DISORDERLY CONDUCT - ENGAGE IN FIGHTING,10/23/2016,01:52,800 block Madison Ave,East Allegheny,1,,
ARREST,16199877,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,10/23/2016,01:52,800 block Madison Ave,East Allegheny,1,,
ARREST,16199877,5505,Public Drunkenness,10/23/2016,01:52,800 block Madison Ave,East Allegheny,1,,
OFFENSE 2.0,16199890,9488,False  Burglar Alarm,10/23/2016,01:56,400 block North Shore Dr,North Shore,1,,
OFFENSE 2.0,16199970,9488,False  Burglar Alarm,10/23/2016,04:40,700 block Arch St,Allegheny Center,1,,
OFFENSE 2.0,16199966,2709(a),Harassment.,10/23/2016,05:00,1900 block Gebhart St,Spring Garden,1,,
OFFENSE 2.0,16199980,1543,Driving While Operating Privilege is Suspended or Revoked.,10/23/2016,05:23,3300 block Brighton Rd,Brighton Heights,1,,
OFFENSE 2.0,16199980,3802(a)(1),DUI - General Impairment,10/23/2016,05:23,3300 block Brighton Rd,Brighton Heights,1,,
OFFENSE 2.0,16199980,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,10/23/2016,05:23,3300 block Brighton Rd,Brighton Heights,1,,
