REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16142381,3304,Criminal Mischief.,08/01/2016,01:10,1600 block Spring Garden Ave,Spring Garden,1,,
OFFENSE 2.0,16142400,5505,Public Drunkenness,08/01/2016,02:15,300 block E North Ave,Allegheny Center,1,,
OFFENSE 2.0,16142400,5503(a)(3),DISORDERLY CONDUCT - OBSCENE LANG/GEST,08/01/2016,02:15,300 block E North Ave,Allegheny Center,1,,
OFFENSE 2.0,16142400,2702,Aggravated Assault.,08/01/2016,02:15,300 block E North Ave,Allegheny Center,1,,
OFFENSE 2.0,16142490,3921,Theft by Unlawful Taking or Disposition.,08/01/2016,03:00,Lowrie St & Gardner St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,16142439,9488,False  Burglar Alarm,08/01/2016,03:42,700 block Allegheny Ave,Chateau,1,,
OFFENSE 2.0,16142459,9488,False  Burglar Alarm,08/01/2016,05:15,100 block Federal St,Mount Washington,1,,
OFFENSE 2.0,16142466,2702,Aggravated Assault.,08/01/2016,05:40,3800 block Harpen Rd,Summer Hill,1,,
OFFENSE 2.0,16142760,3934,Theft from Vehicle,08/01/2016,07:00,1300 block Gifford St,Marshall-Shadeland,1,,
OFFENSE 2.0,16142545,3934,Theft from Vehicle,08/01/2016,08:20,4100 block Franklin Rd,Perry North,1,,
OFFENSE 2.0,16142521,3304,Criminal Mischief.,08/01/2016,08:35,1000 block Goehring St,East Allegheny,1,,
OFFENSE 2.0,16142672,3921(a),Theft by Unlawful Taking or Disposition - Movable item,08/01/2016,09:00,1400 block Sandusky St N,Central Northside,1,,
OFFENSE 2.0,16142672,3502,Burglary.,08/01/2016,09:00,1400 block Sandusky St N,Central Northside,1,,
OFFENSE 2.0,16142567,3502,Burglary.,08/01/2016,09:40,400 block East Ohio St,East Allegheny,1,,
OFFENSE 2.0,16142598,9488,False  Burglar Alarm,08/01/2016,11:01,800 block Arch St,Allegheny Center,1,,
OFFENSE 2.0,16142604,9489,Found Property,08/01/2016,11:15,North Shore Dr & Tony Dorsett Dr,North Shore,1,,
OFFENSE 2.0,16142721,3928,Unauthorized Use of Automobile and Other Vehicles.,08/01/2016,13:40,1200 block Hodgkiss St,Marshall-Shadeland,1,,
ARREST,16134811,3921,Theft by Unlawful Taking or Disposition.,08/01/2016,14:15,3900 block Brighton Rd,Brighton Heights,1,25,M
ARREST,16134811,4106,Access Device Fraud,08/01/2016,14:15,3900 block Brighton Rd,Brighton Heights,1,25,M
OFFENSE 2.0,16142734,4120,Identity Theft,08/01/2016,14:15,100 block Carrington St,Central Northside,1,,
OFFENSE 2.0,16142773,2701,Simple Assault.,08/01/2016,14:27,1600 block Sandusky Ct,Fineview,1,,
ARREST,16142773,2701,Simple Assault.,08/01/2016,14:35,1600 block Sandusky Ct,Fineview,1,50,M
OFFENSE 2.0,16142790,13(a)(30),Possession w/ Intent to Del. Controlled Substance,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,,
ARREST,16142790,907,Possessing Instruments of Crime.,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,26,M
ARREST,16142790,4910,Tampering with or Fabricating Physical Evidence.,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,26,M
ARREST,16142790,3925,Receiving Stolen Property.,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,26,M
ARREST,16142790,13(a)(30),Possession w/ Intent to Del. Controlled Substance,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,26,M
ARREST,16142790,13(a)(16),Possession of Controlled Substance,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,26,M
OFFENSE 2.0,16142790,907,Possessing Instruments of Crime.,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,,
OFFENSE 2.0,16142790,4910,Tampering with or Fabricating Physical Evidence.,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,,
OFFENSE 2.0,16142790,3925,Receiving Stolen Property.,08/01/2016,14:55,Fireman Way & Leduc Way,Central Northside,1,,
