REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16060087,9488,False  Burglar Alarm,04/04/2016,02:07,1200 block Brighton Rd,Central Northside,1,,
OFFENSE 2.0,16060112,9488,False  Burglar Alarm,04/04/2016,03:15,1800 block Metropolitan St,Lincoln-Lemington-Belmar,1,,
OFFENSE 2.0,16060156,2701,Simple Assault.,04/04/2016,06:10,East Ohio St & East St,East Allegheny,1,,
ARREST,16054708,3743,Accidents Involving Damage to Attended Veh. or Property,04/04/2016,08:39,Cherryland St & Ivory Ave,Summer Hill,1,26,M
ARREST,16054708,1543,Driving While Operating Privilege is Suspended or Revoked.,04/04/2016,08:39,Cherryland St & Ivory Ave,Summer Hill,1,26,M
ARREST,16054708,2701,Simple Assault.,04/04/2016,08:39,Cherryland St & Ivory Ave,Summer Hill,1,26,M
ARREST,15236255,1543,Driving While Operating Privilege is Suspended or Revoked.,04/04/2016,09:00,W North Ave & Monterey St,Allegheny Center,1,47,M
ARREST,15236255,4910,Tampering with or Fabricating Physical Evidence.,04/04/2016,09:00,W North Ave & Monterey St,Allegheny Center,1,47,M
ARREST,15236255,4703,Operation of Vehicle without Official Certif. of Inspection,04/04/2016,09:00,W North Ave & Monterey St,Allegheny Center,1,47,M
ARREST,15236255,1310,Temporary Registration Cards.,04/04/2016,09:00,W North Ave & Monterey St,Allegheny Center,1,47,M
ARREST,15236255,13(a)(16),Possession of Controlled Substance,04/04/2016,09:00,W North Ave & Monterey St,Allegheny Center,1,47,M
OFFENSE 2.0,16060268,9496,Dead on Arrival (DOA),04/04/2016,11:17,3500 block California Ave,Brighton Heights,1,,
OFFENSE 2.0,16060324,4912,Impersonating a Public Servant.,04/04/2016,11:30,Woessner Ave,Spring Hill-City View,1,,
OFFENSE 2.0,16060462,9999,9999 - (Misc. Incident): ,04/04/2016,16:00,300 block Jacksonia St,Central Northside,1,,
OFFENSE 2.0,16060527,3921,Theft by Unlawful Taking or Disposition.,04/04/2016,16:30,3200 block Shelby St,Marshall-Shadeland,1,,
OFFENSE 2.0,16060441,2701,Simple Assault.,04/04/2016,16:49,1000 block Morrison St,California-Kirkbride,1,,
ARREST,16060441,2701,Simple Assault.,04/04/2016,17:13,1000 block Morrison St,California-Kirkbride,1,28,F
ARREST,16060441,2701,Simple Assault.,04/04/2016,17:13,1000 block Morrison St,California-Kirkbride,1,40,M
OFFENSE 2.0,16060565,3304,Criminal Mischief.,04/04/2016,20:00,1400 block Boyle St,Central Northside,1,,
ARREST,16046078,3921(a),Theft by Unlawful Taking or Disposition - Movable item,04/04/2016,21:50,500 block East Ohio St,East Allegheny,1,33,M
OFFENSE 2.0,16060071,2701,Simple Assault.,04/04/2016,01:28,3100 block Liberty Ave,Polish Hill,2,,
OFFENSE 2.0,16060143,3502,Burglary.,04/04/2016,05:00,2200 block Penn Ave,Strip District,2,,
OFFENSE 2.0,16060238,3304,Criminal Mischief.,04/04/2016,08:00,200 block 46th St,Central Lawrenceville,2,,
OFFENSE 2.0,16060238,3934,Theft from Vehicle,04/04/2016,08:00,200 block 46th St,Central Lawrenceville,2,,
OFFENSE 2.0,16060184,2701,Simple Assault.,04/04/2016,08:15,800 block Adelaide St,Upper Hill,2,,
OFFENSE 2.0,16060211,3745,Accidents Involving Damage to Unattended Veh.or Prop.,04/04/2016,09:15,3300 block Webster Ave,Upper Hill,2,,
OFFENSE 2.0,16060276,3304,Criminal Mischief.,04/04/2016,10:34,2400 block Bedford Ave,Bedford Dwellings,2,,
OFFENSE 2.0,16060292,2709,Harassment (Non-Specific),04/04/2016,11:05,500 block FORBES Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16060287,2707.1,Discharge of a Firearm into Occupied Structure,04/04/2016,12:10,2600 block Centre Ave,Terrace Village,2,,
OFFENSE 2.0,16060287,3304,Criminal Mischief.,04/04/2016,12:10,2600 block Centre Ave,Terrace Village,2,,
OFFENSE 2.0,16060287,8106,Shots Fired,04/04/2016,12:10,2600 block Centre Ave,Terrace Village,2,,
OFFENSE 2.0,16060371,9501,Bench Warrant,04/04/2016,15:20,300 block 6th Ave,Golden Triangle/Civic Arena,2,,
ARREST,16060371,9501,Bench Warrant,04/04/2016,15:30,300 block 6th Ave,Golden Triangle/Civic Arena,2,19,M
OFFENSE 2.0,16060614,3921,Theft by Unlawful Taking or Disposition.,04/04/2016,19:00,300 block Wood St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16060559,2709,Harassment (Non-Specific),04/04/2016,19:34,1400 block Locust St,Bluff,2,,
OFFENSE 2.0,16060038,2701,Simple Assault.,04/04/2016,00:14,200 block Alries St,Carrick,3,,
ARREST,16060056,5503(a)(4),DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,22,M
OFFENSE 2.0,16060056,5503(a)(4),DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,,
ARREST,16060056,2702,Aggravated Assault.,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,22,M
ARREST,16060056,2706,Terroristic Threats.,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,22,M
ARREST,16060056,3503.B1I,DEF. TRESPASS ACTUAL COMMUNICATION,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,22,M
ARREST,16060056,5104,Resisting Arrest or Other Law Enforcement.,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,22,M
OFFENSE 2.0,16060056,5505,Public Drunkenness,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,,
ARREST,16060056,5505,Public Drunkenness,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,22,M
OFFENSE 2.0,16060056,2702,Aggravated Assault.,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,,
OFFENSE 2.0,16060056,2706,Terroristic Threats.,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,,
OFFENSE 2.0,16060056,3503.B1I,DEF. TRESPASS ACTUAL COMMUNICATION,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,,
OFFENSE 2.0,16060056,5104,Resisting Arrest or Other Law Enforcement.,04/04/2016,00:45,S 15th St & E Carson St,South Side Flats,3,,
ARREST,16060176,9501,Bench Warrant,04/04/2016,07:30,800 block E Warrington Ave,Allentown,3,34,M
OFFENSE 2.0,16060176,9501,Bench Warrant,04/04/2016,07:30,800 block E Warrington Ave,Allentown,3,,
OFFENSE 2.0,16060275,3304,Criminal Mischief.,04/04/2016,09:30,2000 block Rehman St,Carrick,3,,
OFFENSE 2.0,16060275,3934,Theft from Vehicle,04/04/2016,09:30,2000 block Rehman St,Carrick,3,,
OFFENSE 2.0,16060248,9999,9999 - (Misc. Incident): ,04/04/2016,09:30,300 block Albert St,Mount Washington,3,,
OFFENSE 2.0,16060289,9490,Missing Persons (18 and Over),04/04/2016,12:30,2600 block Spring St,Arlington,3,,
OFFENSE 2.0,16060376,5503(a)(1),DISORDERLY CONDUCT - ENGAGE IN FIGHTING,04/04/2016,15:23,Boggs Ave,Mount Washington,3,,
OFFENSE 2.0,16060517,9999,9999 - (Misc. Incident): ,04/04/2016,16:05,200 block Dilworth St,Mount Washington,3,,
OFFENSE 2.0,16060488,9489,Found Property,04/04/2016,16:40,3200 block E Carson St,South Side Flats,3,,
OFFENSE 2.0,16060546,3921(a),Theft by Unlawful Taking or Disposition - Movable item,04/04/2016,19:20,600 block Brownsville Rd,Knoxville,3,,
OFFENSE 2.0,16060560,029,Missing Juvenile,04/04/2016,19:58,100 block Walter St,Allentown,3,,
OFFENSE 2.0,16060127,9496,Dead on Arrival (DOA),04/04/2016,03:39,3400 block Blvd Of The Allies,Central Oakland,4,,
OFFENSE 2.0,16060468,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,04/04/2016,08:30,4300 block Saline St,Squirrel Hill South,4,,
