REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16140519,2706,Terroristic Threats.,07/29/2016,04:05,200 block E Jefferson St,Central Northside,1,,
OFFENSE 2.0,16140519,2709,Harassment (Non-Specific),07/29/2016,04:05,200 block E Jefferson St,Central Northside,1,,
OFFENSE 2.0,16140519,2709.1,Stalking Conduct or Repeatedly Acts Including Follows,07/29/2016,04:05,200 block E Jefferson St,Central Northside,1,,
OFFENSE 2.0,16140522,9488,False  Burglar Alarm,07/29/2016,04:41,100 block Federal St S,North Shore,1,,
OFFENSE 2.0,16140571,3502,Burglary.,07/29/2016,07:46,1000 block Voskamp St,Spring Garden,1,,
OFFENSE 2.0,16140571,3921(a),Theft by Unlawful Taking or Disposition - Movable item,07/29/2016,07:46,1000 block Voskamp St,Spring Garden,1,,
OFFENSE 2.0,16140660,9999,9999 - (Misc. Incident): ,07/29/2016,10:00,Manhattan St & Warlo St,Manchester,1,,
ARREST,16134019,3701,Robbery.,07/29/2016,10:50,East St & Foreland St,East Allegheny,1,41,M
OFFENSE 2.0,16140722,2709,Harassment (Non-Specific),07/29/2016,11:50,3400 block Shadeland Ave,Brighton Heights,1,,
ARREST,16108977,2701,Simple Assault.,07/29/2016,13:55,500 block Chautauqua St,Perry South,1,30,F
OFFENSE 2.0,16140792,3921(a),Theft by Unlawful Taking or Disposition - Movable item,07/29/2016,14:40,1700 block Belleau Dr,Fineview,1,,
ARREST,16140824,13(a)(16),Possession of Controlled Substance,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,50,M
ARREST,16140824,1543,Driving While Operating Privilege is Suspended or Revoked.,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,50,M
OFFENSE 2.0,16140824,13(a)(32),Paraphernalia - Use or Possession,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,,
ARREST,16140824,13(a)(16),Possession of Controlled Substance,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,20,F
ARREST,16140824,13(a)(32),Paraphernalia - Use or Possession,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,20,F
ARREST,16140824,13(a)(32),Paraphernalia - Use or Possession,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,32,M
OFFENSE 2.0,16140824,13(a)(16),Possession of Controlled Substance,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,,
OFFENSE 2.0,16140824,3323,Stop Signs and Yield Signs.,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,,
ARREST,16140824,3323,Stop Signs and Yield Signs.,07/29/2016,15:30,Perrysville Ave & Federal Ext N,Perry South,1,50,M
ARREST,16095127,3929,Retail Theft.,07/29/2016,16:50,600 block East Ohio St,East Allegheny,1,34,F
OFFENSE 2.0,16140875,3922,Theft by Deception.,07/29/2016,17:00,600 block East Ohio St,East Allegheny,1,,
OFFENSE 2.0,16140875,3929(a)(1),Retail Theft; takes possession of  carries away  or transfers displayed merchandise,07/29/2016,17:00,600 block East Ohio St,East Allegheny,1,,
OFFENSE 2.0,16140875,903,Criminal Conspiracy.,07/29/2016,17:00,600 block East Ohio St,East Allegheny,1,,
OFFENSE 2.0,16140912,9999,9999 - (Misc. Incident): Intoxicated Driver ,07/29/2016,18:26,Brighton Rd & California Ave,Central Northside,1,,
OFFENSE 2.0,16140943,3921,Theft by Unlawful Taking or Disposition.,07/29/2016,18:31,1200 block Loraine St,Central Northside,1,,
OFFENSE 2.0,16140943,2701,Simple Assault.,07/29/2016,18:31,1200 block Loraine St,Central Northside,1,,
OFFENSE 2.0,16140934,9496,Dead on Arrival (DOA),07/29/2016,18:55,800 block Phineas St,East Allegheny,1,,
OFFENSE 2.0,16141003,13(a)(16),Possession of Controlled Substance,07/29/2016,20:25,Middle St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,16141003,902,Criminal Solicitation.,07/29/2016,20:25,Middle St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,16141003,5902(e),Patronizing a Prostitute,07/29/2016,20:25,Middle St & Foreland St,East Allegheny,1,,
ARREST,16141003,902,Criminal Solicitation.,07/29/2016,20:25,Middle St & Foreland St,East Allegheny,1,41,M
ARREST,16141003,5902(e),Patronizing a Prostitute,07/29/2016,20:25,Middle St & Foreland St,East Allegheny,1,41,M
ARREST,16141003,13(a)(16),Possession of Controlled Substance,07/29/2016,20:25,Middle St & Foreland St,East Allegheny,1,41,M
ARREST,16141030,13(a)(32),Paraphernalia - Use or Possession,07/29/2016,21:00,Cedar Ave & Foreland St,Allegheny Center,1,29,F
ARREST,16141030,5902(a)(2),Prostitution - Loitering for purpose of,07/29/2016,21:00,Cedar Ave & Foreland St,Allegheny Center,1,29,F
OFFENSE 2.0,16141030,5902(a)(2),Prostitution - Loitering for purpose of,07/29/2016,21:00,Cedar Ave & Foreland St,Allegheny Center,1,,
OFFENSE 2.0,16141030,13(a)(32),Paraphernalia - Use or Possession,07/29/2016,21:00,Cedar Ave & Foreland St,Allegheny Center,1,,
OFFENSE 2.0,16141019,3928,Unauthorized Use of Automobile and Other Vehicles.,07/29/2016,21:00,1000 block Sheffield St,Manchester,1,,
ARREST,16141040,5902(e),Patronizing a Prostitute,07/29/2016,21:20,Middle St & Foreland St,East Allegheny,1,35,M
ARREST,16141040,902,Criminal Solicitation.,07/29/2016,21:20,Middle St & Foreland St,East Allegheny,1,35,M
OFFENSE 2.0,16141040,5902(e),Patronizing a Prostitute,07/29/2016,21:25,Middle St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,16141040,902,Criminal Solicitation.,07/29/2016,21:25,Middle St & Foreland St,East Allegheny,1,,
ARREST,16141058,5902(a)(2),Prostitution - Loitering for purpose of,07/29/2016,21:45,Foreland St & James St,East Allegheny,1,24,F
OFFENSE 2.0,16141058,5902(a)(1),Prostitution ,07/29/2016,21:45,Foreland St & James St,East Allegheny,1,,
OFFENSE 2.0,16141058,5902(a)(2),Prostitution - Loitering for purpose of,07/29/2016,21:45,Foreland St & James St,East Allegheny,1,,
ARREST,16141058,5902(a)(1),Prostitution ,07/29/2016,21:45,Foreland St & James St,East Allegheny,1,24,F
OFFENSE 2.0,16141078,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,07/29/2016,22:18,North Shore Dr & Art Rooney Ave,North Shore,1,,
OFFENSE 2.0,16141082,5902(e),Patronizing a Prostitute,07/29/2016,22:20,Middle St & Foreland St,East Allegheny,1,,
ARREST,16141082,902,Criminal Solicitation.,07/29/2016,22:20,Middle St & Foreland St,East Allegheny,1,35,M
ARREST,16141082,5902(e),Patronizing a Prostitute,07/29/2016,22:20,Middle St & Foreland St,East Allegheny,1,35,M
OFFENSE 2.0,16141082,902,Criminal Solicitation.,07/29/2016,22:20,Middle St & Foreland St,East Allegheny,1,,
ARREST,16141078,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,07/29/2016,22:30,North Shore Dr & Art Rooney Ave,North Shore,1,28,M
OFFENSE 2.0,16140475,3304,Criminal Mischief.,07/29/2016,01:55,600 block Smithfield St,Golden Triangle/Civic Arena,2,,
ARREST,16135704,3926(a)(4),Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),07/29/2016,02:45,Market Pl,Golden Triangle/Civic Arena,2,40,M
OFFENSE 2.0,16140869,3921,Theft by Unlawful Taking or Disposition.,07/29/2016,04:00,1600 block Smallman St,Strip District,2,,
OFFENSE 2.0,16140542,9489,Found Property,07/29/2016,05:45,600 block Grant St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16140555,9999,9999 - (Misc. Incident): Bicycle Accident,07/29/2016,06:50,100 block Smithfield St,Golden Triangle/Civic Arena,2,,
ARREST,16104531,5505,Public Drunkenness,07/29/2016,07:37,900 block 2nd Ave,Golden Triangle/Civic Arena,2,37,M
ARREST,16104531,5104,Resisting Arrest or Other Law Enforcement.,07/29/2016,07:37,900 block 2nd Ave,Golden Triangle/Civic Arena,2,37,M
ARREST,16104531,5503(a)(4),DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,07/29/2016,07:37,900 block 2nd Ave,Golden Triangle/Civic Arena,2,37,M
OFFENSE 2.0,16140596,4106,Access Device Fraud,07/29/2016,08:00,3800 block Foster St,Lower Lawrenceville,2,,
ARREST,16101836,3924,Theft of Property Lost  Mislaid or Delivered by Mistake.,07/29/2016,09:22,100 block 47th St,Central Lawrenceville,2,21,M
ARREST,16101836,4106,Access Device Fraud,07/29/2016,09:22,100 block 47th St,Central Lawrenceville,2,21,M
ARREST,16003758,9015,Failure To Appear/Arrest on Attachment Order,07/29/2016,10:06,900 block 2nd Ave,East Liberty,2,29,F
ARREST,16140652,13(a)(31),Marijuana: Possession Small Amount,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,24,F
ARREST,16140652,13(a)(30)*,Delivery of Controlled Substance,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,27,M
ARREST,16140652,13(a)(30),Possession w/ Intent to Del. Controlled Substance,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,27,M
OFFENSE 2.0,16140652,13(a)(16),Possession of Controlled Substance,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16140652,13(a)(30),Possession w/ Intent to Del. Controlled Substance,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16140652,13(a)(30)*,Delivery of Controlled Substance,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,16140652,13(a)(31),Marijuana: Possession Small Amount,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,,
ARREST,16140652,13(a)(16),Possession of Controlled Substance,07/29/2016,10:24,Wood St & Forbes Ave,Golden Triangle/Civic Arena,2,27,M
