REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16016079,3922,Theft by Deception.,01/27/2016,00:01,1400 block Metropolitan St,Chateau,1,,
OFFENSE 2.0,16016079,4106,Access Device Fraud,01/27/2016,00:01,1400 block Metropolitan St,Chateau,1,,
OFFENSE 2.0,16015821,9501,Bench Warrant,01/27/2016,03:54,300 block E North Ave,Allegheny Center,1,,
ARREST,16015821,9501,Bench Warrant,01/27/2016,03:54,300 block E North Ave,Allegheny Center,1,32,M
OFFENSE 2.0,16015912,3304,Criminal Mischief.,01/27/2016,09:00,400 block foreland St,East Allegheny,1,,
OFFENSE 2.0,16015928,9999,9999 - (Misc. Incident): 9999 - (Misc. Incident): ,01/27/2016,09:45,1300 block Manhattan St,Manchester,1,,
OFFENSE 2.0,16015965,4105(a)(1),Bad Checks,01/27/2016,10:30,400 block Armandale St,Central Northside,1,,
OFFENSE 2.0,16015965,4106,Access Device Fraud,01/27/2016,10:30,400 block Armandale St,Central Northside,1,,
OFFENSE 2.0,16016010,13(a)(16),Possession of Controlled Substance,01/27/2016,12:09,1900 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,16016010,2701,Simple Assault.,01/27/2016,12:09,1900 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,16016010,13(a)(31),Marijuana: Possession Small Amount,01/27/2016,12:09,1900 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,16016034,9488,False  Burglar Alarm,01/27/2016,12:56,1900 block Bader St,Spring Hill-City View,1,,
OFFENSE 2.0,16016154,3924,Theft of Property Lost  Mislaid or Delivered by Mistake.,01/27/2016,13:00,400 block E Ohio St,East Allegheny,1,,
ARREST,16016010,2701,Simple Assault.,01/27/2016,13:06,1900 block Lowrie St,Troy Hill-Herrs Island,1,34,M
ARREST,16016010,13(a)(31),Marijuana: Possession Small Amount,01/27/2016,13:06,1900 block Lowrie St,Troy Hill-Herrs Island,1,34,M
ARREST,16016010,13(a)(16),Possession of Controlled Substance,01/27/2016,13:06,1900 block Lowrie St,Troy Hill-Herrs Island,1,34,M
ARREST,16016044,9501,Bench Warrant,01/27/2016,13:15,500 block Avery St,East Allegheny,1,31,M
OFFENSE 2.0,16016044,9501,Bench Warrant,01/27/2016,13:15,500 block Avery St,East Allegheny,1,,
ARREST,15226068,2705,Recklessly Endangering Another Person.,01/27/2016,14:15,1800 block Letsche St,Fineview,1,20,M
ARREST,15226068,2701(a)(3),Simple Assault - Attempts by Physical Menace ,01/27/2016,14:15,1800 block Letsche St,Fineview,1,20,M
ARREST,15226068,3701,Robbery.,01/27/2016,14:15,1800 block Letsche St,Fineview,1,20,M
OFFENSE 2.0,16016086,3743,Accidents Involving Damage to Attended Veh. or Property,01/27/2016,14:40,Ohio River Blvd & McKees Rocks Brg,Brighton Heights,1,,
OFFENSE 2.0,16016124,9999,9999 - (Misc. Incident): 9999 - (Misc. Incident): ,01/27/2016,16:17,3100 block Lecky Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,16016176,1543,Driving While Operating Privilege is Suspended or Revoked.,01/27/2016,17:21,Federal St N & Eloise St,Central Northside,1,,
OFFENSE 2.0,16016176,3709,Dep. Waste and Other Material ,01/27/2016,17:21,Federal St N & Eloise St,Central Northside,1,,
