REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,16081877,2701(a)(3),Simple Assault - Attempts by Physical Menace ,05/05/2016,02:49,600 block Toboggan St,Fineview,1,,
OFFENSE 2.0,16081877,2705,Recklessly Endangering Another Person.,05/05/2016,02:49,600 block Toboggan St,Fineview,1,,
OFFENSE 2.0,16081877,4304(a)(1),Endangering Welfare of Children.,05/05/2016,02:49,600 block Toboggan St,Fineview,1,,
OFFENSE 2.0,16081885,9496,Dead on Arrival (DOA),05/05/2016,02:59,1400 block Dehaven St,Troy Hill-Herrs Island,1,,
ARREST,16048797,9015,Failure To Appear/Arrest on Attachment Order,05/05/2016,03:50,500 block Avery St,East Allegheny,1,19,M
ARREST,16075386,2702,Aggravated Assault.,05/05/2016,07:55,1600 block Boyer St,Summer Hill,1,30,M
ARREST,16075386,2706,Terroristic Threats.,05/05/2016,07:55,1600 block Boyer St,Summer Hill,1,30,M
OFFENSE 2.0,16081981,3304,Criminal Mischief.,05/05/2016,08:30,1300 block N Franklin St,Manchester,1,,
OFFENSE 2.0,16081971,9999,9999 - (Misc. Incident): possible heroin overdose,05/05/2016,09:56,4200 block Harpen Rd,Summer Hill,1,,
OFFENSE 2.0,16082013,9497,Aided Case,05/05/2016,10:00,100 block Watson Blvd,Perry North,1,,
OFFENSE 2.0,16082098,029,Missing Juvenile,05/05/2016,13:13,200 block Ridge Ave,Allegheny Center,1,,
OFFENSE 2.0,16082117,3503(b)(1)(i),Actual Communication,05/05/2016,13:35,300 block Cedar Ave,East Allegheny,1,,
OFFENSE 2.0,16082117,3929,Retail Theft.,05/05/2016,13:35,300 block Cedar Ave,East Allegheny,1,,
ARREST,16082117,3929,Retail Theft.,05/05/2016,14:30,300 block Cedar Ave,East Allegheny,1,62,M
